name,code,url,gasDayStart,gasInStorage,consumption,consumptionFull,injection,withdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,status,trend,full
Austria,AT,AT,2022-07-11,46.3147,98.0665,47.23,197.15,38.8,95.5024,841.75,1059.79,C,0.17,48.5
Belgium,BE,BE,2022-07-11,5.6568,195.4791,2.89,2.58,0,8.701,88.14,169.66,C,0.03,65.01
Bulgaria,BG,BG,2022-07-11,2.1974,33.5875,6.54,32.6,0,5.8025,38.18,40.3,C,0.56,37.87
Croatia,HR,HR,2022-07-11,1.8415,33.3513,5.52,34.41,1.4,4.7725,43.87,51.57,C,0.69,38.59
Czech Republic,CZ,CZ,2022-07-11,31.8878,91.9014,34.7,148.3,3.6,43.7739,496.94,705.07,C,0.33,72.85
Denmark,DK,DK,2022-07-11,7.4978,26.7256,28.05,27.64,14,9.23,90.72,180.9,C,0.15,81.23
France,FR,FR,2022-07-11,89.9778,467.6163,19.24,557.39,289.8,131.6078,1151.3,2482.65,C,0.2,68.37
Germany,DE,DE,2022-07-11,156.8678,995.2735,15.76,515.93,293,242.8686,4043.6,6893.35,C,0.09,64.59
Hungary,HU,HU,2022-07-11,29.906,117.0470,25.55,237.73,0.3,67.7027,488.14,839.71,C,0.35,44.17
Ireland,IE,IE,2022-07-11,,61.0128,0,,,,,,N,,
Italy,IT,IT,2022-07-11,125.4125,778.1091,16.12,852.85,0,193.4434,1698.45,2914.24,C,0.44,64.83
Latvia,LV,LV,2022-07-11,10.375,12.3417,84.06,31.2,0,21.8,132,74,C,0.14,47.59
Netherlands,NL,NL,2022-07-11,80.517,420.4208,19.15,566.48,112.5,141.4911,1421.38,2739.68,E,0.32,56.91
Poland,PL,PL,2022-07-11,35.5095,247.9080,14.32,45.78,3,36.4103,345.03,595.86,C,0.12,97.53
Portugal,PT,PT,2022-07-11,3.7698,68.9299,5.47,10.05,0,3.57,24,85.68,C,0.28,100
Romania,RO,RO,2022-07-11,15.5814,122.9074,12.68,168.78,0,32.7936,264.75,312.44,C,0.51,47.51
Slovakia,SK,SK,2022-07-11,23.2283,57.2526,40.57,100.37,30.7,36.0476,410.96,491.56,C,0.19,64.44
Spain,ES,ES,2022-07-11,25.8939,372.7544,6.95,74.2,0,35.2503,126.3,214.5,C,0.21,73.46
Sweden,SE,SE,2022-07-11,0.0806,12.1651,0.66,0,0,0.1013,6.48,8.57,C,0,79.5
United Kingdom (Pre-Brexit),GB,GB,2022-07-11,,,0,,,,,,N,,
Serbia,RS,RS,2022-07-11,,,0,,,,,,N,,
Ukraine,UA,UA,2022-07-11,69.7547,337.3955,20.67,353.38,0,325.0506,2354.87,1404.94,C,0.11,21.46
United Kingdom (Post-Brexit),GB*,GB*,2022-07-11,9.5814,833.6979,1.15,0,70.6,9.7338,491.67,472.78,E,-0.73,98.43
